"Course Name";"Course provider";Description;"Students enrolled";Ratings
"Machine Translation";"Karlsruhe Institute of Technology";"Alexander Waibel (http://isl.anthropomatik.kit.edu/english/21_74.<ais-highlight-0000000000>php</ais-highlight-0000000000>) and Assistant Professor Dr. Jan Niehus (https://www.maastrichtuniversity";10467;4.5636363636364
"Basic Cryptography and Programming with Crypto API";"University of Colorado System";"Algorithm. Armed with these knowledge, we learn how to use <ais-highlight-0000000000>PHP</ais-highlight-0000000000>  Crypto API to write secure programs for encrypting and";11952;4.4567901234568
"Deploy a complete Wordpress Website in Microsoft Azure Cloud";"Coursera Project Network";"e-learning platforms, and others.\n\nSince WordPress is a <ais-highlight-0000000000>PHP</ais-highlight-0000000000>-based technology it could be deployed in many ways";190;5
"The Making of the US President: A Short History in Five Elections";"The University of Edinburgh";"S. Truman Library & Museum (https://www.trumanlibrary.org/photographs/view.<ais-highlight-0000000000>php</ais-highlight-0000000000>?id=38592).\n\nCourse banner - ""US Flag Backlit"" by";2373;4.5405405405405
"Créer un site web Wordpress avec Amazon Lightsail";"Coursera Project Network";"Accéder à la base de données du site web avec <ais-highlight-0000000000>PHP</ais-highlight-0000000000>MyAdmin\n- Accéder aux fichiers du site web via FTP";24;0
"Hospedar site Wordpress Completo no Microsoft Azure Cloud";"Coursera Project Network";"algumas etapas\n\nComo o WordPress é baseado na tecnologia <ais-highlight-0000000000>PHP</ais-highlight-0000000000>, ele pode ser implantado de várias maneiras e em";21;5
"Installer et configurer la pile LAMP sous Ubuntu";"Coursera Project Network";"heure, vous apprendrez à installer et configurer MySQL Apache et <ais-highlight-0000000000>PHP</ais-highlight-0000000000> sous Ubuntu, configurer des hôtes virtuels dans Apache et";11;0
"Configurer un environnement dev avec la pile LEMP sous Linux";"Coursera Project Network";"déployées et Installer des extensions supplémentaires à l’instance Docker <ais-highlight-0000000000>PHP</ais-highlight-0000000000>. Il vous est nécessaire d’être habitué au shell";5;0
"Build a simple API-driven e-commerce application";"Coursera Project Network";"In this 1-hour long project-based course, you will learn how to build a simple restful API with python";438;2.5
"Install and use Matomo on Windows IIS server";"Coursera Project Network";"Learn how to install and use Matomo, leading free open source web analytics software, on Windows IIS server for local";70;5
"Internet of Things V2: Setting up and Using Cloud Services";"University of California San Diego";"Have you wondered what exactly AWS is and why is it important?  Do you want to make informed design decisions";9831;4.6969696969697
